Shipment ID,Order Date,Shipment Date,Actual Delivery Date,Origin City,Origin Country,Manufacturing Site,Destination Country,Destination City,Chosen Route Name,Distance (km),Customer ID,Service Level,Product ID,Product Category,Shipment Content Type,Packaging Type,Packaging Efficiency,Line Item Quantity,Unit Price (USD),Pack Price (USD),Line Item Value (USD),Weight (kg),Volume (m³),Billable Weight (kg),Shipment Mode,Transporter Name,Carrier Product Fit Score,Expected Delivery Time (Days),Delivery Time (Days),Delay (Days),Avg Speed (km/h),Halt Duration (hours),Route Deviation Factor,Weather Impact,Customs/Border Delay (hours),Route Congestion Factor,Seasonal Cost Factor,Seasonal Delay Factor,Proposed Freight Cost (USD),Actual Freight Cost (USD),Cost Per Billable Kg (USD),Price Variance (USD),Price Variance (%),Carbon Emissions (kg CO2),Status,On-Time Delivery,Cost Outlier,Shipment Month,Shipment Day of Week
SHIP01456,2023-11-25,2023-11-25,2024-02-21,Gurugram,India,Gurugram Mfg Hub,Gurugram,Sydney,Air/Sea Route SYD,10000,CUST040,Standard,PROD0096,Consumer Goods,General Goods,Crate,0.08,169,103.66,102.46,17518.54,1412.96,26.569,26569.0,Sea,Maersk,6,44.7,87.8,43.1,11.0,16.2,1.96,None,19.7,1.4,1.2,1.15,165918.7,248728.93,9.36,82810.23,49.91,5208.91,Delayed,No,False,11,5
SHIP01457,2023-12-04,2023-12-05,2023-12-06,Gurugram,India,Gurugram Mfg Hub,Gurugram,Bangalore,NH 44 Standard,2150,CUST006,Express,PROD0056,Textiles,General Goods,Box,0.39,345,382.78,386.99,132059.1,114.5,13.571,2266.357,Air Cargo,Maersk,10,3.2,1.0,-2.2,490.7,4.0,1.24,None,0.0,1.1,1.15,1.1,92852.15,110756.02,48.87,17903.87,19.28,4842.79,Early,Yes,False,12,1
SHIP01458,2023-01-04,2023-01-07,2023-01-09,Gurugram,India,Gurugram Mfg Hub,Gurugram,Bangalore,NH 44 Standard,2150,CUST018,Express,PROD0051,Textiles,General Goods,Box,0.81,220,294.43,299.31,64774.6,502.89,17.866,2983.622,Air Cargo,Maersk,10,3.1,2.4,-0.7,644.4,6.1,1.28,None,18.8,1.1,1.05,1.1,121099.22,131474.01,44.07,10374.79,8.57,6564.54,Early,Yes,False,1,5
SHIP01459,2023-07-02,2023-07-03,2023-07-06,Gurugram,India,Gurugram Mfg Hub,Gurugram,Frankfurt,Air/Sea Route FRA,6500,CUST004,Standard,PROD0022,Pharma,Temperature Controlled,Pallet,0.0,225,207.86,206.21,46768.5,367.96,0.653,367.96,Express Air,FedEx,9,2.5,3.3,0.8,535.2,12.3,1.22,Severe Weather,0.0,1.1,1.08,1.25,139104.43,154841.38,420.81,15736.95,11.31,2914.12,Delayed,No,False,7,0
SHIP01460,2023-07-19,2023-07-19,2023-07-24,Gurugram,India,Gurugram Mfg Hub,Gurugram,Frankfurt,Air/Sea Route FRA,6500,CUST045,Critical,PROD0089,Consumer Goods,General Goods,Crate,0.01,191,286.65,287.25,54750.15,420.48,3.061,511.187,Air Cargo,FedEx,8,2.6,5.1,2.5,520.1,18.5,1.31,Minor Rain/Fog,36.1,1.1,1.08,1.25,86534.55,99182.92,194.02,12648.37,14.62,3470.41,Delayed,No,False,7,2
SHIP01461,2023-02-17,2023-02-18,2023-02-22,Gurugram,India,Gurugram Mfg Hub,Gurugram,Bangalore,Western Bypass,2200,CUST010,Express,PROD0028,Pharma,Temperature Controlled,Pallet,0.01,355,1060.39,1065.96,376438.45,183.42,4.756,794.2520000000001,Air Cargo,FedEx,9,2.3,3.9,1.6,497.5,1.7,1.46,Minor Rain/Fog,67.5,1.2,1.0,1.0,45976.54,52180.28,65.7,6203.74,13.49,2043.86,Delayed,No,False,2,5
SHIP01462,2023-11-07,2023-11-10,2023-11-18,Gurugram,India,Gurugram Mfg Hub,Gurugram,Mumbai,Via Jaipur-Udaipur,1450,CUST042,Standard,PROD0006,Electronics,Fragile,Box,0.48,238,1640.94,1656.28,390543.72,730.49,11.344,11344.0,Sea,MSC,4,3.6,7.9,4.3,15.2,3.2,1.52,None,0.0,1.2,1.2,1.15,10727.19,13821.73,1.22,3094.54,28.85,250.0,Delayed,No,False,11,4
SHIP01463,2024-08-17,2024-08-18,2024-08-24,Gurugram,India,Gurugram Mfg Hub,Gurugram,Kolkata,NH 19 East,1500,CUST004,Standard,PROD0044,Textiles,General Goods,Carton,1.17,269,349.27,347.82,93953.63,328.79,15.744,15744.0,Sea,MSC,10,2.4,6.2,3.8,17.7,4.3,1.02,Severe Weather,0.0,1.0,1.05,1.15,15539.97,16086.82,1.02,546.85,3.52,240.27,Delayed,No,False,8,6
SHIP01464,2024-05-31,2024-05-31,2024-06-07,Gurugram,India,Gurugram Mfg Hub,Gurugram,Sydney,Air/Sea Route SYD,10000,CUST032,Standard,PROD0026,Pharma,Temperature Controlled,Box,0.1,190,385.12,387.77,73172.8,149.34,1.961,327.487,Air Cargo,FedEx,9,8.5,6.9,-1.6,308.1,33.7,2.09,None,61.5,1.4,0.95,0.95,114495.76,130637.87,398.91,16142.11,14.1,5476.9,Early,Yes,False,5,4
SHIP01465,2023-01-05,2023-01-07,2023-01-13,Gurugram,India,Gurugram Mfg Hub,Gurugram,Sydney,Air/Sea Route SYD,10000,CUST017,Critical,PROD0118,Hazardous Materials,Hazardous,Crate,0.45,19,318.18,322.25,6045.42,3593.93,17.07,3593.93,Air Cargo,DHL,5,5.6,6.1,0.5,339.6,34.7,2.14,None,19.6,1.4,1.05,1.1,978256.41,1226371.04,341.23,248114.63,25.36,61514.66,Delivered,Yes,False,1,5
SHIP01466,2023-02-27,2023-03-01,2023-03-03,Gurugram,India,Gurugram Mfg Hub,Gurugram,Shanghai,Air/Sea Route SHA,4500,CUST041,Standard,PROD0021,Pharma,Temperature Controlled,Crate,0.0,272,1022.46,1024.74,278109.12,460.12,1.259,460.12,Express Air,FedEx,9,3.0,1.5,-1.5,677.4,14.6,1.55,None,0.0,1.2,1.0,1.0,120648.95,128157.75,278.53,7508.8,6.22,3200.71,Early,Yes,False,3,2
SHIP01467,2024-07-07,2024-07-07,2024-07-08,Gurugram,India,Gurugram Mfg Hub,Gurugram,Bangalore,Western Bypass,2200,CUST013,Express,PROD0026,Pharma,Temperature Controlled,Box,0.08,499,1942.4,1968.87,969257.6,675.58,4.022,675.58,Air Cargo,FedEx,9,2.7,1.2,-1.5,576.6,2.3,1.47,None,0.0,1.2,1.08,1.25,38901.61,47295.71,70.01,8394.1,21.58,1745.82,Early,Yes,False,7,6
SHIP01468,2024-05-04,2024-05-07,2024-05-08,Gurugram,India,Gurugram Mfg Hub,Gurugram,Ahmedabad,NH 48 West,800,CUST034,Standard,PROD0015,Electronics,Fragile,Box,0.02,267,1443.78,1467.78,385489.26,357.79,0.444,357.79,Express Air,FedEx,9,1.4,1.0,-0.4,846.7,1.5,1.05,None,0.0,1.0,0.95,0.95,16632.72,16708.5,46.7,75.78,0.46,300.14,Delivered,Yes,False,5,1
SHIP01469,2023-09-27,2023-09-29,2023-11-25,Gurugram,India,Gurugram Mfg Hub,Gurugram,Los Angeles,Air/Sea Route LA,13500,CUST026,Standard,PROD0079,Machinery Parts,Heavy/Bulky,Pallet,2.4,20,1020.91,1019.41,20418.2,1439.18,72.143,72143.0,Sea,Maersk,9,51.6,57.3,5.7,17.7,18.9,1.73,None,0.0,1.3,1.0,1.0,615743.75,748447.06,10.37,132703.31,21.55,16834.15,Delayed,No,False,9,4
SHIP01470,2024-09-22,2024-09-23,2024-09-29,Gurugram,India,Gurugram Mfg Hub,Gurugram,Dubai,Air/Sea Route DXB,2200,CUST009,Standard,PROD0069,Machinery Parts,Heavy/Bulky,Pallet,1.39,14,6667.24,6731.15,93341.36,1363.94,29.271,29271.0,Sea,Maersk,9,7.1,5.9,-1.2,22.7,2.5,1.06,None,0.0,1.0,1.0,1.0,40583.48,43596.19,1.49,3012.71,7.42,680.0,Early,Yes,False,9,0
SHIP01471,2024-05-07,2024-05-08,2024-05-10,Gurugram,India,Gurugram Mfg Hub,Gurugram,Frankfurt,Air/Sea Route FRA,6500,CUST042,Standard,PROD0003,Electronics,Fragile,Carton,0.4,77,4127.42,4112.99,317811.34,115.37,1.55,310.0,Express Air,FedEx,9,3.0,2.2,-0.8,605.8,6.6,1.22,Moderate Rain/Fog,0.0,1.1,0.95,0.95,115939.67,114663.33,369.88,-1276.34,-1.1,2458.53,Early,Yes,False,5,2
SHIP01472,2023-09-12,2023-09-12,2023-09-16,Gurugram,India,Gurugram Mfg Hub,Gurugram,Mumbai,Via Jaipur-Udaipur,1450,CUST034,Express,PROD0085,Consumer Goods,General Goods,Carton,3.09,336,225.85,225.77,75885.6,1620.42,51.848,12962.0,Road,FedEx,8,1.6,4.5,2.9,29.4,4.9,1.54,None,0.0,1.2,1.0,1.0,82280.7,90644.35,6.99,8363.65,10.16,1739.84,Delayed,No,False,9,1
SHIP01473,2024-05-26,2024-05-27,2024-06-18,Gurugram,India,Gurugram Mfg Hub,Gurugram,Chennai,East Coast detour,2350,CUST026,Standard,PROD0093,Consumer Goods,General Goods,Carton,2.58,292,268.26,263.39,78331.92,2040.44,37.717,37717.0,Sea,Maersk,6,5.1,22.5,17.4,10.7,8.2,2.01,None,95.9,1.4,0.95,0.95,56375.56,71664.04,1.9,15288.48,27.12,1781.17,Delayed,No,False,5,0
SHIP01474,2023-09-21,2023-09-22,2023-09-23,Gurugram,India,Gurugram Mfg Hub,Gurugram,Kolkata,NH 19 East,1500,CUST049,Standard,PROD0034,Pharma,Temperature Controlled,Box,0.19,345,1387.34,1379.36,478632.3,587.32,6.719,1122.073,Air Cargo,Maersk,5,2.7,1.3,-1.4,633.7,1.2,1.04,None,0.0,1.0,1.0,1.0,32143.77,34023.82,30.32,1880.05,5.85,1401.86,Early,Yes,False,9,4
SHIP01475,2024-07-04,2024-07-07,2024-07-14,Gurugram,India,Gurugram Mfg Hub,Gurugram,Pune,Standard Route,1450,CUST021,Standard,PROD0082,Consumer Goods,General Goods,Carton,0.82,134,222.62,224.16,29831.08,1779.96,5.507,5507.0,Sea,MSC,6,2.0,7.0,5.0,28.6,2.8,1.09,None,47.8,1.0,1.08,1.25,5334.26,6086.64,1.11,752.38,14.1,87.37,Delayed,No,False,7,6
SHIP01476,2023-10-29,2023-10-31,2023-11-01,Gurugram,India,Gurugram Mfg Hub,Gurugram,Bangalore,NH 44 Standard,2150,CUST038,Express,PROD0035,Pharma,Temperature Controlled,Box,0.13,269,885.75,900.59,238266.75,275.14,3.51,586.17,Air Cargo,MSC,5,2.6,1.3,-1.3,661.1,2.7,1.26,None,0.0,1.1,1.1,1.05,24689.53,30002.18,51.18,5312.65,21.52,1275.37,Early,Yes,False,10,1
SHIP01477,2024-11-08,2024-11-10,2024-11-19,Gurugram,India,Gurugram Mfg Hub,Gurugram,Mumbai,NH 48 Direct,1400,CUST027,Standard,PROD0083,Consumer Goods,General Goods,Box,0.65,12,29.01,29.09,348.12,103.27,0.785,131.095,Air Cargo,FedEx,8,2.3,9.179125573236686,6.9,493.2,2.1,1.23,None,48.3,1.1,1.2,1.15,6455.43,8351.63,63.71,1896.2,29.37,179.91,Delayed,No,False,11,6
SHIP01478,2023-01-02,2023-01-04,2023-01-30,Gurugram,India,Gurugram Mfg Hub,Gurugram,Frankfurt,Air/Sea Route FRA,6500,CUST037,Standard,PROD0017,Electronics,Fragile,Pallet,0.03,381,1379.11,1366.12,525440.91,1882.54,17.038,17038.0,Sea,Maersk,4,29.4,26.313275708327076,-3.1,18.2,17.6,1.22,None,0.0,1.1,1.05,1.1,70588.56,77282.39,4.54,6693.83,9.48,1347.53,Early,Yes,False,1,2
SHIP01479,2023-12-03,2023-12-05,2023-12-11,Gurugram,India,Gurugram Mfg Hub,Gurugram,Bangalore,Western Bypass,2200,CUST035,Express,PROD0069,Machinery Parts,Heavy/Bulky,Carton,69.41,11,6384.09,6446.0,70224.99,1194.48,38.173,6374.8910000000005,Air Cargo,Maersk,9,2.9,5.5,2.6,502.5,3.5,1.47,Minor Rain/Fog,84.0,1.2,1.15,1.1,263328.96,332565.31,52.17,69236.35,26.29,16451.36,Delayed,No,False,12,1
SHIP01480,2024-08-20,2024-08-21,2024-09-01,Gurugram,India,Gurugram Mfg Hub,Gurugram,Dubai,Air/Sea Route DXB,2200,CUST004,Standard,PROD0041,Textiles,General Goods,Pallet,0.0,228,22.32,22.2,5088.96,1487.49,1.572,1572.0,Sea,Maersk,10,7.2,10.97597835350133,3.8,28.7,5.0,1.09,Minor Rain/Fog,31.3,1.0,1.05,1.15,2291.79,2665.76,1.7,373.97,16.32,37.6,Delayed,No,False,8,2
SHIP01481,2024-06-09,2024-06-10,2024-06-12,Gurugram,India,Gurugram Mfg Hub,Gurugram,Ahmedabad,NH 48 West,800,CUST032,Standard,PROD0007,Electronics,Fragile,Carton,0.4,318,2985.69,2977.89,949449.42,1331.86,6.376,6376.0,Sea,MSC,4,1.5,2.3,0.8,28.1,0.8,1.05,Minor Rain/Fog,0.0,1.0,1.0,1.05,3427.83,3684.0,0.58,256.17,7.47,53.79,Delayed,No,False,6,0
SHIP01482,2023-05-31,2023-05-31,2023-06-07,Gurugram,India,Gurugram Mfg Hub,Gurugram,Mumbai,Via Jaipur-Udaipur,1450,CUST007,Standard,PROD0091,Consumer Goods,General Goods,Carton,2.26,85,154.87,153.53,13163.95,1092.91,9.626,9626.0,Sea,Maersk,6,2.9,6.9,4.0,13.9,9.9,1.45,Moderate Rain/Fog,0.0,1.2,0.95,0.95,8896.07,9676.55,1.01,780.48,8.77,202.41,Delayed,No,False,5,2
SHIP01483,2024-01-28,2024-01-28,2024-02-18,Gurugram,India,Gurugram Mfg Hub,Gurugram,Frankfurt,Air/Sea Route FRA,6500,CUST048,Standard,PROD0052,Textiles,General Goods,Box,0.07,323,34.79,34.25,11237.17,129.16,2.241,2241.0,Sea,Maersk,10,29.9,21.1,-8.8,20.8,14.5,1.31,Minor Rain/Fog,0.0,1.1,1.05,1.1,9268.61,10095.98,4.51,827.37,8.93,190.74,Early,Yes,False,1,6
SHIP01484,2024-06-09,2024-06-09,2024-08-21,Gurugram,India,Gurugram Mfg Hub,Gurugram,Sydney,Air/Sea Route SYD,10000,CUST013,Standard,PROD0091,Consumer Goods,General Goods,Box,1.97,461,80.41,80.4,37069.01,6229.05,90.998,90998.0,Sea,MSC,6,44.7,72.6,27.9,13.4,29.3,2.14,Minor Rain/Fog,0.0,1.4,1.0,1.05,591376.13,713557.64,7.84,122181.51,20.66,19486.34,Delayed,No,False,6,6
SHIP01485,2024-05-02,2024-05-04,2024-05-07,Gurugram,India,Gurugram Mfg Hub,Gurugram,Bangalore,NH 44 Standard,2150,CUST048,Express,PROD0009,Electronics,Fragile,Pallet,0.02,389,3986.72,3992.95,1550834.08,294.31,12.899,2154.133,Air Cargo,MSC,4,2.5,3.4,0.9,475.6,4.7,1.25,Minor Rain/Fog,62.3,1.1,0.95,0.95,90024.93,91157.77,42.32,1132.84,1.26,4617.58,Delayed,No,False,5,5
SHIP01486,2024-08-11,2024-08-14,2024-08-15,Gurugram,India,Gurugram Mfg Hub,Gurugram,Chennai,East Coast detour,2350,CUST043,Standard,PROD0039,Pharma,Temperature Controlled,Carton,0.18,486,1867.77,1892.33,907736.22,751.11,4.477,751.11,Air Cargo,MSC,5,4.5,1.4,-3.1,417.6,5.4,2.04,None,0.0,1.4,1.05,1.15,34638.25,48098.56,64.04,13460.31,38.86,2882.28,Early,Yes,False,8,2
SHIP01487,2023-04-02,2023-04-05,2023-04-07,Gurugram,India,Gurugram Mfg Hub,Gurugram,Ahmedabad,NH 48 West,800,CUST031,Standard,PROD0009,Electronics,Fragile,Pallet,0.0,425,3734.91,3722.1,1587336.75,2023.51,2.032,2032.0,Sea,Maersk,4,2.0,1.7,-0.3,29.1,0.8,1.01,Minor Rain/Fog,1.1,1.0,0.98,0.95,1155.92,1152.32,0.57,-3.6,-0.31,16.34,Delivered,Yes,False,4,2
SHIP01488,2024-12-12,2024-12-14,2024-12-17,Gurugram,India,Gurugram Mfg Hub,Gurugram,Ahmedabad,NH 48 West,800,CUST042,Express,PROD0093,Consumer Goods,General Goods,Pallet,0.08,186,228.89,232.39,42573.54,2048.64,22.638,5659.5,Road,Maersk,6,1.2,2.9,1.7,32.9,2.8,1.05,None,0.0,1.0,1.15,1.1,14414.35,16810.59,2.97,2396.24,16.62,285.77,Delayed,No,False,12,5
SHIP01489,2024-03-12,2024-03-13,2024-03-28,Gurugram,India,Gurugram Mfg Hub,Gurugram,Chennai,East Coast detour,2350,CUST041,Standard,PROD0044,Textiles,General Goods,Pallet,0.06,429,193.85,196.43,83161.65,1011.99,36.275,36275.0,Sea,MSC,10,5.0,14.8,9.8,14.7,11.1,2.08,None,0.0,1.4,1.0,1.0,55174.42,68504.89,1.89,13330.47,24.16,1770.48,Delayed,No,False,3,2
SHIP01490,2024-08-12,2024-08-15,2024-08-26,Gurugram,India,Gurugram Mfg Hub,Gurugram,Chennai,NH 44 South,2200,CUST031,Standard,PROD0094,Consumer Goods,General Goods,Pallet,0.11,204,54.09,54.31,11034.36,753.51,34.884,34884.0,Sea,Maersk,6,3.2,10.6,7.4,18.5,4.6,1.56,None,0.0,1.2,1.05,1.15,48252.95,58946.68,1.69,10693.73,22.16,1199.6,Delayed,No,False,8,3
SHIP01491,2024-08-04,2024-08-07,2024-09-06,Gurugram,India,Gurugram Mfg Hub,Gurugram,London,Air/Sea Route LDN,6700,CUST018,Standard,PROD0085,Consumer Goods,General Goods,Carton,2.15,77,189.42,192.68,14585.34,283.0,8.277,8277.0,Sea,MSC,6,32.9,30.3,-2.6,17.8,9.8,1.51,None,30.9,1.2,1.05,1.15,36220.46,42626.99,5.15,6406.53,17.69,838.87,Early,Yes,False,8,2
SHIP01492,2024-04-02,2024-04-04,2024-04-21,Gurugram,India,Gurugram Mfg Hub,Gurugram,Shanghai,Air/Sea Route SHA,4500,CUST045,Standard,PROD0082,Consumer Goods,General Goods,Pallet,0.07,292,219.65,215.83,64137.8,1519.74,30.001,30001.0,Sea,MSC,6,17.0,16.6,-0.4,19.4,9.1,1.47,Minor Rain/Fog,57.3,1.2,0.98,0.95,86941.44,95556.01,3.19,8614.57,9.91,1986.07,Delivered,Yes,False,4,3
SHIP01493,2023-10-11,2023-10-11,2023-10-17,Gurugram,India,Gurugram Mfg Hub,Gurugram,New York,Air/Sea Route NY,12000,CUST019,Express,PROD0060,Textiles,General Goods,Pallet,0.04,329,416.63,421.56,137071.27,2687.39,21.67,3618.8900000000003,Air Cargo,MSC,10,7.7,6.1,-1.6,425.5,43.0,1.72,None,11.1,1.3,1.1,1.05,842954.15,1056072.55,291.82,213118.4,25.28,59697.31,Early,Yes,False,10,2
SHIP01494,2023-08-17,2023-08-17,2023-10-28,Gurugram,India,Gurugram Mfg Hub,Gurugram,Sydney,Air/Sea Route SYD,10000,CUST024,Standard,PROD0088,Consumer Goods,General Goods,Carton,3.63,196,246.0,248.98,48216.0,172.84,35.577,35577.0,Sea,Maersk,6,44.8,72.0,27.2,14.1,22.7,2.07,None,0.0,1.4,1.05,1.15,223282.22,280228.58,7.88,56946.36,25.5,7354.05,Delayed,No,False,8,3
SHIP01495,2024-12-21,2024-12-21,2024-12-23,Gurugram,India,Gurugram Mfg Hub,Gurugram,Frankfurt,Air/Sea Route FRA,6500,CUST028,Express,PROD0042,Textiles,General Goods,Carton,1.39,11,315.58,319.92,3471.38,48.12,0.764,127.58800000000001,Air Cargo,FedEx,7,3.9,1.8,-2.1,534.2,10.6,1.32,None,0.0,1.1,1.15,1.1,29212.96,35983.43,282.03,6770.47,23.18,874.75,Early,Yes,False,12,5
SHIP01496,2023-01-03,2023-01-06,2023-03-18,Gurugram,India,Gurugram Mfg Hub,Gurugram,Sydney,Air/Sea Route SYD,10000,CUST004,Standard,PROD0017,Electronics,Fragile,Box,0.34,381,4895.42,4906.07,1865155.02,561.08,13.045,13045.0,Sea,MSC,4,44.2,70.8,26.6,13.5,48.9,1.99,Minor Rain/Fog,7.2,1.4,1.05,1.1,85022.05,115233.63,8.83,30211.58,35.53,2601.98,Delayed,No,False,1,4
SHIP01497,2023-12-22,2023-12-25,2023-12-26,Gurugram,India,Gurugram Mfg Hub,Gurugram,Chennai,NH 44 South,2200,CUST044,Standard,PROD0035,Pharma,Temperature Controlled,Carton,0.24,215,564.74,575.12,121419.1,266.5,2.58,430.86,Air Cargo,FedEx,9,2.6,1.4,-1.2,505.4,7.0,1.44,None,0.0,1.2,1.15,1.1,32900.49,41790.73,96.99,8890.24,27.02,1093.07,Early,Yes,False,12,0
SHIP01498,2024-04-29,2024-04-29,2024-07-13,Gurugram,India,Gurugram Mfg Hub,Gurugram,New York,Air/Sea Route NY,12000,CUST044,Standard,PROD0048,Textiles,General Goods,Box,0.24,316,332.77,330.91,105155.32,1211.28,7.539,7539.0,Sea,MSC,10,48.9,74.6,25.7,11.9,23.9,1.8,None,26.8,1.3,0.98,0.95,58275.12,72158.95,9.57,13883.83,23.82,1627.98,Delayed,No,False,4,0
SHIP01499,2024-01-13,2024-01-14,2024-01-24,Gurugram,India,Gurugram Mfg Hub,Gurugram,Chennai,NH 44 South,2200,CUST031,Standard,PROD0047,Textiles,General Goods,Pallet,0.01,313,252.54,248.68,79045.02,1042.99,6.526,6526.0,Sea,MSC,10,3.3,9.6,6.3,18.7,3.8,1.47,None,0.0,1.2,1.05,1.1,9368.89,10853.9,1.66,1485.01,15.85,210.97,Delayed,No,False,1,6
SHIP01500,2024-05-17,2024-05-18,2024-07-21,Gurugram,India,Gurugram Mfg Hub,Gurugram,Sydney,Air/Sea Route SYD,10000,CUST002,Standard,PROD0091,Consumer Goods,General Goods,Crate,0.03,395,111.3,111.4,43963.5,5919.37,26.827,26827.0,Sea,MSC,6,44.6,63.8,19.2,13.0,38.6,2.0,None,0.0,1.4,0.95,0.95,172376.23,214612.71,8.0,42236.48,24.5,5356.51,Delayed,No,False,5,5
SHIP01501,2024-03-14,2024-03-15,2024-03-18,Gurugram,India,Gurugram Mfg Hub,Gurugram,Frankfurt,Air/Sea Route FRA,6500,CUST033,Critical,PROD0093,Consumer Goods,General Goods,Box,1.67,10,166.6,165.71,1666.0,83.08,1.67,278.89,Air Cargo,DHL,8,3.2,3.0,-0.2,481.4,6.0,1.26,Severe Weather,11.7,1.1,1.0,1.0,65961.88,72486.43,259.91,6524.55,9.89,1820.28,Delivered,Yes,False,3,4
SHIP01502,2023-04-08,2023-04-10,2023-04-12,Gurugram,India,Gurugram Mfg Hub,Gurugram,Shanghai,Air/Sea Route SHA,4500,CUST031,Critical,PROD0098,Consumer Goods,General Goods,Loose,1.0,261,215.05,214.37,56128.05,2916.31,7.061,2916.31,Air Cargo,DHL,8,2.7,1.8,-0.9,480.8,12.2,1.56,None,0.0,1.2,0.98,0.95,357918.37,403491.0,138.36,45572.63,12.73,16420.92,Early,Yes,False,4,0
SHIP01503,2023-06-30,2023-07-01,2023-07-03,Gurugram,India,Gurugram Mfg Hub,Gurugram,Frankfurt,Air/Sea Route FRA,6500,CUST043,Express,PROD0051,Textiles,General Goods,Carton,1.33,232,347.09,345.2,80524.88,490.33,15.379,2568.293,Air Cargo,DHL,7,3.8,2.1,-1.7,539.7,10.0,1.25,None,0.0,1.1,1.08,1.25,449863.79,529503.09,206.17,79639.3,17.7,16689.24,Early,Yes,False,7,5
SHIP01504,2024-02-22,2024-02-24,2024-03-26,Gurugram,India,Gurugram Mfg Hub,Gurugram,London,Air/Sea Route LDN,6700,CUST038,Standard,PROD0084,Consumer Goods,General Goods,Pallet,0.12,108,164.99,164.64,17818.92,929.4,19.187,19187.0,Sea,MSC,6,33.3,31.1,-2.2,15.3,5.5,1.49,None,73.5,1.2,1.0,1.0,83551.59,95906.15,5.0,12354.56,14.79,1914.08,Early,Yes,False,2,5
SHIP01505,2024-01-22,2024-01-22,2024-01-27,Gurugram,India,Gurugram Mfg Hub,Gurugram,Kolkata,NH 19 East,1500,CUST032,Standard,PROD0084,Consumer Goods,General Goods,Pallet,0.01,385,36.03,35.92,13871.55,1256.81,4.762,4762.0,Sea,Maersk,6,2.4,5.4,3.0,20.3,1.0,1.06,None,12.9,1.0,1.05,1.1,4665.81,5181.24,1.09,515.43,11.05,75.81,Delayed,No,False,1,0
SHIP01506,2024-07-15,2024-07-18,2024-07-22,Gurugram,India,Gurugram Mfg Hub,Gurugram,Dubai,Air/Sea Route DXB,2200,CUST006,Express,PROD0004,Electronics,Fragile,Box,0.35,145,3019.61,2980.28,437843.45,695.76,5.147,859.5490000000001,Air Cargo,Maersk,4,2.0,4.3,2.3,568.2,4.0,1.1,None,56.5,1.0,1.08,1.25,36025.64,40791.9,47.46,4766.26,13.23,1661.3,Delayed,No,False,7,3
SHIP01507,2023-06-27,2023-06-30,2023-07-02,Gurugram,India,Gurugram Mfg Hub,Gurugram,Singapore,Air/Sea Route SIN,4000,CUST032,Express,PROD0038,Pharma,Temperature Controlled,Carton,0.24,401,1907.94,1928.99,765083.94,76.86,4.793,800.431,Air Cargo,Maersk,5,3.4,1.5,-1.9,612.7,2.4,1.07,Minor Rain/Fog,0.0,1.0,1.0,1.05,60602.8,62205.96,77.72,1603.16,2.65,2740.27,Early,Yes,False,6,4
SHIP01508,2023-09-25,2023-09-26,2023-09-29,Gurugram,India,Gurugram Mfg Hub,Gurugram,Chennai,NH 44 South,2200,CUST036,Express,PROD0017,Electronics,Fragile,Loose,1.0,435,3759.68,3726.49,1635460.8,397.61,2.385,398.29499999999996,Air Cargo,FedEx,9,3.1,3.4,0.3,458.3,1.6,1.48,None,59.7,1.2,1.0,1.0,30387.63,33448.97,83.98,3061.34,10.07,1040.65,Delivered,Yes,False,9,1
SHIP01509,2023-11-12,2023-11-13,2023-11-15,Gurugram,India,Gurugram Mfg Hub,Gurugram,London,Air/Sea Route LDN,6700,CUST032,Express,PROD0058,Textiles,General Goods,Pallet,0.01,48,437.71,438.29,21010.08,297.03,1.0,297.03,Express Air,DHL,7,2.6,1.8,-0.8,796.0,15.5,1.5,None,0.0,1.2,1.2,1.15,118554.36,150497.29,506.67,31942.93,26.94,2979.3,Early,Yes,False,11,0
SHIP01510,2024-04-15,2024-04-16,2024-04-25,Gurugram,India,Gurugram Mfg Hub,Gurugram,Dubai,Air/Sea Route DXB,2200,CUST015,Standard,PROD0065,Machinery Parts,Heavy/Bulky,Box,22.71,7,5660.58,5551.45,39624.06,781.12,15.9,15900.0,Sea,Maersk,9,7.1,9.261697658757303,2.2,18.7,5.6,1.03,Moderate Rain/Fog,0.0,1.0,0.98,0.95,22312.31,21859.26,1.37,-453.05,-2.03,359.5,Delayed,No,False,4,1
SHIP01511,2023-10-17,2023-10-19,2023-10-21,Gurugram,India,Gurugram Mfg Hub,Gurugram,Mumbai,Via Agra-Indore,1500,CUST037,Critical,PROD0007,Electronics,Fragile,Pallet,0.03,354,3457.47,3510.72,1223944.38,432.09,17.016,2841.6719999999996,Air Cargo,Maersk,4,2.6,1.6,-1.0,362.4,1.4,1.85,None,0.0,1.3,1.1,1.05,80020.64,101188.67,35.61,21168.03,26.45,6324.3,Early,Yes,False,10,3
SHIP01512,2024-01-07,2024-01-07,2024-01-13,Gurugram,India,Gurugram Mfg Hub,Gurugram,Dubai,Air/Sea Route DXB,2200,CUST007,Standard,PROD0061,Machinery Parts,Heavy/Bulky,Carton,93.49,19,4260.16,4209.55,80943.04,8229.85,88.814,88814.0,Sea,MSC,9,6.6,5.6,-1.0,23.1,3.6,1.02,None,0.0,1.0,1.05,1.1,126221.57,137593.1,1.55,11371.53,9.01,1993.29,Early,Yes,False,1,6
