ID,Project Code,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Dosage,Dosage Form,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Transporter Name,Delivery Time (Days)
12866,151-NG-T01,Pre-PQ Process,SO-21806,DN-1140,Delhi,PMO - US,From RDC,N/A - From RDC,Air Charter,Pre-PQ Process,N/A - From RDC,19-Mar-09,19-Mar-09,19-Mar-09,ARV,Adult,Dr. Reddy's,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,67842,99734.56,1.470100527696707,0.024501675461611784,"Srikakulam, Andhra Pradesh",Yes,7627,1216.32,1515.86,TCI Express,14
12868,104-CI-T01,Pre-PQ Process,SO-19340,DN-1122,Maharashtra,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,29-Apr-09,29-Apr-09,29-Apr-09,ARV,Adult,Lupin,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,28624,74919.32,2.6173602571268866,0.04362267095211478,"Hosakote, Karnataka",Yes,2583,2221.02,524.56,GATI,14
12869,113-ZW-T01,Pre-PQ Process,SO-13980,DN-972,Delhi,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,31-Oct-08,31-Oct-08,31-Oct-08,ARV,Adult,Biocon,"Lamivudine/Stavudine 150/30mg, tablets, 30 Tabs",Lamivudine/Stavudine,Generic,150/30mg,Tablet - FDC,30,8000,37911.47,4.73893375,0.15796445833333334,"Bhiwandi, Maharashtra",Yes,483,643.32,31.36,Delhivery,6
12870,510-KE-T01,Pre-PQ Process,SO-12710,DN-879,Delhi,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,20-Aug-08,20-Aug-08,20-Aug-08,HRDT,HIV test,Cipla,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,1067,32185.28,30.16427366447985,1.5082136832239925,"Hosakote, Karnataka",Yes,297,279.35,54.63,VRL Logistics,5
12871,104-CI-T01,Pre-PQ Process,SO-27020,DN-1160,Delhi,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,20-Mar-09,20-Mar-09,20-Mar-09,ARV,Adult,Aurobindo Pharma,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,10000,64684.39,6.468439,0.10780731666666667,"Baddi, Himachal Pradesh",Yes,Weight Captured Separately,224.89,59.58,TCI Express,9
12873,123-NG-T01,Pre-PQ Process,SO-22830,DN-1166,Tamil Nadu,PMO - US,From RDC,N/A - From RDC,Air Charter,Pre-PQ Process,N/A - From RDC,8-May-09,8-May-09,8-May-09,ARV,Pediatric,Serum Institute,"Efavirenz 200mg, capsule, 90 Caps",Efavirenz,Generic,200mg,Capsule,90,1132,14270.44,12.606395759717316,0.14007106399685906,"Hosakote, Karnataka",No,See DN-1166 (ID#:12271),2337.82,33.86,GATI,7
12874,113-ZW-T01,Pre-PQ Process,SO-18110,DN-1168,Gujarat,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,27-Apr-09,27-Apr-09,27-Apr-09,ARV,Adult,Dr. Reddy's,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,76000,10628.46,0.13984815789473684,0.0023308026315789474,"Bhiwandi, Maharashtra",No,See DN-1168 (ID#:11031),399.61,1102.3,GATI,4
12875,111-MZ-T01,Pre-PQ Process,SO-17531,DN-1181,Maharashtra,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,3-Jun-09,3-Jun-09,3-Jun-09,ARV,Adult,Serum Institute,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,135000,3834.03,0.028400222222222223,0.00047333703703703706,"Hosakote, Karnataka",Yes,10053,1246.5,1905.12,TCI Express,8
12876,109-TZ-T01,Pre-PQ Process,SO-18740,DN-1180,Tamil Nadu,PMO - US,From RDC,N/A - From RDC,Truck,Pre-PQ Process,N/A - From RDC,11-May-09,11-May-09,11-May-09,ARV,Pediatric,Sun Pharma,"Abacavir 20mg/ml, oral solution, Bottle, 240 ml",Abacavir,Generic,20mg/ml,Oral solution,240,1977,49631.88,25.10464339908953,0.1046026808295397,"Pithampur, Madhya Pradesh",No,See DN-1180 (ID#:11033),557.5,62.58,Delhivery,11
12877,123-NG-T01,Pre-PQ Process,SO-22831,DN-1172,Maharashtra,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,30-Apr-09,30-Apr-09,30-Apr-09,ARV,Adult,Dr. Reddy's,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,248,94029.73,379.1521370967742,6.319202284946237,"Pithampur, Madhya Pradesh",Yes,24,1171.07,1.56,GATI,8
12878,112-NG-T01,Pre-PQ Process,SO-20962,DN-1182,Gujarat,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,30-Apr-09,30-Apr-09,30-Apr-09,ARV,Adult,Cipla,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,1067,62375.83,58.45907216494845,0.9743178694158076,"Hosakote, Karnataka",Yes,60,603.35,6.69,GATI,13
12879,123-NG-T01,Pre-PQ Process,SO-23430,DN-1183,Karnataka,PMO - US,From RDC,N/A - From RDC,Air Charter,Pre-PQ Process,N/A - From RDC,8-May-09,8-May-09,8-May-09,ARV,Adult,Sun Pharma,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,35000,66192.06,1.8912017142857143,0.03152002857142857,"Srikakulam, Andhra Pradesh",Yes,3162,1339.5,641.41,VRL Logistics,14
12883,100-GH-T01,Pre-PQ Process,SO-30700,DN-1235,Gujarat,PMO - US,From RDC,N/A - From RDC,Truck,Date Not Captured,N/A - From RDC,12-Aug-09,12-Aug-09,12-Aug-09,ARV,Adult,Serum Institute,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,8346,92760.04,11.114311047208243,0.18523851745347072,"Bhiwandi, Maharashtra",No,See DN-1235 (ID#:10769),2014.7,0.16,Delhivery,8
12885,112-NG-T01,Pre-PQ Process,SO-21050,DN-1244,Uttar Pradesh,PMO - US,From RDC,N/A - From RDC,Air Charter,Pre-PQ Process,N/A - From RDC,16-Jun-09,16-Jun-09,16-Jun-09,ARV,Adult,Aurobindo Pharma,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,2178,5302.43,2.4345408631772267,0.08115136210590755,"Pithampur, Madhya Pradesh",No,See DN-1244 (ID#:11048),1630.52,46.1,TCI Express,2
12886,112-NG-T01,Pre-PQ Process,SO-21050,DN-1244,Tamil Nadu,PMO - US,From RDC,N/A - From RDC,Air Charter,Pre-PQ Process,N/A - From RDC,16-Jun-09,16-Jun-09,16-Jun-09,ARV,Pediatric,Sun Pharma,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,806,46109.29,57.20755583126551,0.23836481596360629,"Hosakote, Karnataka",No,See DN-1244 (ID#:11048),560.45,3.0,Blue Dart,13
12887,114-UG-T01,Pre-PQ Process,SO-30070,DN-1254,Tamil Nadu,PMO - US,From RDC,N/A - From RDC,Air,Pre-PQ Process,N/A - From RDC,1-Jun-09,1-Jun-09,1-Jun-09,ARV,Adult,Serum Institute,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,3895,94195.16,24.18360975609756,0.403060162601626,"Srikakulam, Andhra Pradesh",Yes,289,1039.63,54.36,Blue Dart,11
12892,123-NG-T01,Pre-PQ Process,SO-24480,DN-1276,Uttar Pradesh,PMO - US,From RDC,N/A - From RDC,Air Charter,Pre-PQ Process,N/A - From RDC,16-Jun-09,16-Jun-09,16-Jun-09,ARV,Adult,Serum Institute,"Indinavir 400mg [Crixivan], capsules, 180 Caps",Indinavir,Crixivan,400mg,Capsule,180,400,32531.81,81.329525,0.45183069444444446,"Vapi, Gujarat",Yes,89,1121.04,39.2,Delhivery,10
12893,151-NG-T01,Pre-PQ Process,SO-30024,DN-1291,West Bengal,PMO - US,From RDC,N/A - From RDC,Air Charter,Pre-PQ Process,N/A - From RDC,16-Jun-09,16-Jun-09,16-Jun-09,ARV,Adult,Biocon,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,3190,25692.21,8.053984326018808,0.13423307210031346,"Bhiwandi, Maharashtra",Yes,361,932.79,71.28,Delhivery,12
12894,123-NG-T01,Pre-PQ Process,SO-24481,DN-1296,Tamil Nadu,PMO - US,From RDC,N/A - From RDC,Air Charter,Pre-PQ Process,N/A - From RDC,16-Jun-09,16-Jun-09,16-Jun-09,ARV,Adult,Serum Institute,"Indinavir 400mg [Crixivan], capsules, 180 Caps",Indinavir,Crixivan,400mg,Capsule,180,400,91984.86,229.96215,1.2775675,"Baddi, Himachal Pradesh",No,See DN-1296 (ID#:10779),2299.55,39.2,Blue Dart,7
12896,111-MZ-T01,Pre-PQ Process,SO-32110,DN-1305,West Bengal,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,20-Aug-09,20-Aug-09,20-Aug-09,ARV,Adult,Lupin,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,9310,79989.58,8.591791621911923,0.1431965270318654,"Vapi, Gujarat",Yes,376,1307.24,58.39,GATI,2
12897,110-ZM-T01,Pre-PQ Process,SO-17640,DN-1324,Karnataka,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,4-Sep-09,4-Sep-09,4-Sep-09,ARV,Adult,Serum Institute,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,22260,60504.85,2.7180974842767296,0.09060324947589099,"Pithampur, Madhya Pradesh",Yes,1921,911.57,479.93,Blue Dart,12
12898,111-MZ-T01,Pre-PQ Process,SO-26423,DN-1332,Delhi,PMO - US,From RDC,N/A - From RDC,Truck,Date Not Captured,N/A - From RDC,27-Aug-09,27-Aug-09,27-Aug-09,ARV,Adult,Cipla,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,1894,72582.11,38.3221277719113,0.638702129531855,"Bhiwandi, Maharashtra",No,See DN-1332 (ID#:11663),1503.26,9.06,VRL Logistics,11
12899,151-NG-T01,Pre-PQ Process,SO-32647,DN-1341,Maharashtra,PMO - US,From RDC,N/A - From RDC,Air Charter,Date Not Captured,N/A - From RDC,4-Aug-09,4-Aug-09,4-Aug-09,ARV,Adult,Lupin,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,1268,12395.97,9.776001577287065,0.16293335962145108,"Srikakulam, Andhra Pradesh",Yes,143,508.52,28.33,Blue Dart,4
12900,110-ZM-T01,Pre-PQ Process,SO-30310,DN-1363,Tamil Nadu,PMO - US,From RDC,N/A - From RDC,Truck,Date Not Captured,N/A - From RDC,29-Sep-09,29-Sep-09,29-Sep-09,ARV,Adult,Sun Pharma,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,27941,40834.12,1.4614408933109053,0.048714696443696845,"Vapi, Gujarat",Yes,1970,1016.98,602.41,GATI,9
12902,106-HT-T01,Pre-PQ Process,SO-32750,DN-1372,Tamil Nadu,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,27-Aug-09,27-Aug-09,27-Aug-09,ARV,Pediatric,Aurobindo Pharma,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",Zidovudine,Generic,10mg/ml,Oral solution,240,2757,94644.82,34.328915487849116,0.143037147866038,"Srikakulam, Andhra Pradesh",Yes,1038,1361.25,11.35,TCI Express,6
12903,106-HT-T01,Pre-PQ Process,SO-32760,DN-1373,Tamil Nadu,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,31-Jul-09,31-Jul-09,31-Jul-09,ARV,Pediatric,Lupin,"Zidovudine 100mg, capsules, 100 Caps",Zidovudine,Generic,100mg,Capsule,100,1260,5703.58,4.526650793650794,0.04526650793650794,"Hosakote, Karnataka",No,See DN-1373 (ID#:11062),1829.93,12.35,GATI,5
12904,106-HT-T01,Pre-PQ Process,SO-32730,DN-1374,Gujarat,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,31-Jul-09,31-Jul-09,31-Jul-09,ARV,Adult,Cipla,"Stavudine 20mg, capsules, 60 Caps",Stavudine,Generic,20mg,Capsule,60,108,35096.7,324.96944444444443,5.4161574074074075,"Hosakote, Karnataka",No,See DN-1374 (ID#:11999),705.65,0.37,Delhivery,4
12905,104-CI-T01,Pre-PQ Process,SO-32220,DN-1390,Maharashtra,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,21-Aug-09,21-Aug-09,21-Aug-09,ARV,Adult,Cipla,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,18180,70525.71,3.87930198019802,0.06465503300330033,"Hosakote, Karnataka",Yes,2047,1244.0,404.43,TCI Express,10
12908,114-UG-T01,Pre-PQ Process,SO-32920,DN-1397,Delhi,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,24-Aug-09,24-Aug-09,24-Aug-09,ARV,Adult,Aurobindo Pharma,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,2237,44481.94,19.884640143048728,0.3314106690508121,"Vapi, Gujarat",No,See DN-1397 (ID#:11678),1418.48,10.7,Blue Dart,2
12909,114-UG-T01,Pre-PQ Process,SO-31440,DN-1408,Delhi,PMO - US,From RDC,N/A - From RDC,Ocean,Date Not Captured,N/A - From RDC,15-Sep-09,15-Sep-09,15-Sep-09,ARV,Adult,Lupin,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,8784,16555.62,1.8847472677595627,0.031412454462659375,"Bhiwandi, Maharashtra",Yes,1118,1544.95,195.41,Delhivery,10
12910,110-ZM-T01,Pre-PQ Process,SO-29030,DN-1407,Tamil Nadu,PMO - US,From RDC,N/A - From RDC,Truck,Date Not Captured,N/A - From RDC,19-Oct-09,19-Oct-09,19-Oct-09,ARV,Adult,Serum Institute,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,45964,26694.93,0.5807790879818989,0.019359302932729965,"Vapi, Gujarat",No,See DN-1407 (ID#:11681),972.21,720.72,GATI,2
12911,104-CI-T01,Pre-PQ Process,SO-33220,DN-1422,Uttar Pradesh,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,16-Sep-09,16-Sep-09,16-Sep-09,ARV,Pediatric,Biocon,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,3181,98058.3,30.826249607041813,0.12844270669600755,"Vapi, Gujarat",No,See DN-1422 (ID#:11682),1204.13,11.85,Blue Dart,11
12912,114-UG-T01,Pre-PQ Process,SO-32940,DN-1425,Delhi,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,7-Oct-09,7-Oct-09,7-Oct-09,ARV,Adult,Sun Pharma,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,29426,96594.24,3.2826153741589073,0.10942051247196358,"Hosakote, Karnataka",Yes,2529,491.77,395.07,VRL Logistics,13
12913,104-CI-T01,Pre-PQ Process,SO-33230,DN-1427,West Bengal,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,25-Sep-09,25-Sep-09,25-Sep-09,ARV,Adult,Biocon,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,5830,19351.74,3.3193379073756435,0.05532229845626072,"Vapi, Gujarat",No,See DN-1427 (ID#:11683),1506.5,27.88,Delhivery,10
12914,151-NG-T01,Pre-PQ Process,SO-33332,DN-1435,Maharashtra,PMO - US,From RDC,N/A - From RDC,Air Charter,Date Not Captured,N/A - From RDC,20-Oct-09,20-Oct-09,20-Oct-09,ARV,Adult,Dr. Reddy's,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,17000,30533.79,1.7961052941176472,0.02993508823529412,"Srikakulam, Andhra Pradesh",Yes,1914,1685.4,379.85,TCI Express,5
12915,151-NG-T01,Pre-PQ Process,SO-33336,DN-1437,Uttar Pradesh,PMO - US,From RDC,N/A - From RDC,Air Charter,Date Not Captured,N/A - From RDC,20-Oct-09,20-Oct-09,20-Oct-09,ARV,Adult,Sun Pharma,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,3001,98896.24,32.95442852382539,0.5492404753970899,"Vapi, Gujarat",Yes,338,440.37,67.05,VRL Logistics,9
12916,151-NG-T01,Pre-PQ Process,SO-27823,DN-1442,Delhi,PMO - US,From RDC,N/A - From RDC,Air Charter,Date Not Captured,N/A - From RDC,20-Oct-09,20-Oct-09,20-Oct-09,ARV,Adult,Biocon,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,240,78273.3,326.13875,10.871291666666668,"Vapi, Gujarat",Yes,22,2142.64,5.53,VRL Logistics,11
12917,151-NG-T01,Pre-PQ Process,SO-33338,DN-1445,Gujarat,PMO - US,From RDC,N/A - From RDC,Air Charter,Date Not Captured,N/A - From RDC,20-Oct-09,20-Oct-09,20-Oct-09,ARV,Adult,Dr. Reddy's,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,25281,36595.07,1.4475325343143073,0.024125542238571787,"Pithampur, Madhya Pradesh",Yes,2847,662.78,564.88,GATI,2
12918,151-NG-T01,Pre-PQ Process,SO-33339,DN-1446,West Bengal,PMO - US,From RDC,N/A - From RDC,Air Charter,Date Not Captured,N/A - From RDC,20-Oct-09,20-Oct-09,20-Oct-09,ARV,Adult,Cipla,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,16912,69424.27,4.105030156102176,0.06841716926836959,"Pithampur, Madhya Pradesh",Yes,1905,2340.47,377.88,GATI,5
12919,110-ZM-T01,Pre-PQ Process,SO-33021,DN-1448,Maharashtra,PMO - US,From RDC,N/A - From RDC,Truck,Date Not Captured,N/A - From RDC,13-Oct-09,13-Oct-09,13-Oct-09,ARV,Adult,Biocon,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,22059,85161.28,3.860613808422866,0.12868712694742887,"Srikakulam, Andhra Pradesh",No,See DN-1448 (ID#:12012),2273.02,268.93,TCI Express,10
12920,111-MZ-T01,Pre-PQ Process,SO-26425,DN-1455,Gujarat,PMO - US,From RDC,N/A - From RDC,Truck,Date Not Captured,N/A - From RDC,17-Sep-09,17-Sep-09,17-Sep-09,ARV,Adult,Serum Institute,"Lamivudine/Nevirapine/Stavudine 150/200/30mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,150/200/30mg,Tablet - FDC,60,1604,51812.03,32.30176433915212,0.5383627389858687,"Baddi, Himachal Pradesh",Yes,120,814.56,22.38,Delhivery,13
12922,100-GH-T01,Pre-PQ Process,SO-33650,DN-1473,Gujarat,PMO - US,From RDC,N/A - From RDC,Truck,Date Not Captured,N/A - From RDC,30-Sep-09,12-Aug-09,12-Aug-09,ARV,Pediatric,Aurobindo Pharma,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,276,11743.83,42.55010869565217,0.1418336956521739,"Baddi, Himachal Pradesh",No,See DN-1473 (ID#:11358),951.73,0.01,TCI Express,14
12923,100-GH-T01,Pre-PQ Process,SO-33650,DN-1473,Gujarat,PMO - US,From RDC,N/A - From RDC,Truck,Date Not Captured,N/A - From RDC,30-Sep-09,12-Aug-09,12-Aug-09,ARV,Pediatric,Cipla,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,896,82612.58,92.20154017857143,0.3073384672619048,"Hosakote, Karnataka",No,See DN-1473 (ID#:11358),2125.88,0.02,Blue Dart,13
12925,106-HT-T01,Pre-PQ Process,SO-34250,DN-1497,Karnataka,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,22-Oct-09,22-Oct-09,22-Oct-09,ARV,Adult,Dr. Reddy's,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,4410,91219.21,20.684628117913835,0.3447438019652306,"Srikakulam, Andhra Pradesh",Yes,286,1489.18,13.88,TCI Express,13
12926,117-ET-T01,Pre-PQ Process,SO-34350,DN-1502,Tamil Nadu,PMO - US,From RDC,N/A - From RDC,Air,Date Not Captured,N/A - From RDC,27-Oct-09,27-Oct-09,27-Oct-09,ARV,Adult,Aurobindo Pharma,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,12873,1424.58,0.11066418084362618,0.0018444030140604363,"Pithampur, Madhya Pradesh",Yes,1258,732.13,80.49,GATI,2
12929,102-KE-T30,FPQ-4587,SCMS-58380,ASN-5901,West Bengal,PMO - US,Direct Drop,EXW,Air,11/18/09,12/2/09,16-Feb-10,19-Feb-10,19-Feb-10,HRDT,HIV test,Serum Institute,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,1,68102.75,68102.75,681.0275,"Bhiwandi, Maharashtra",Yes,1028,2135.1,0.17,Blue Dart,10
12935,108-VN-T30,FPQ-12051,SCMS-188650,ASN-23215,Gujarat,PMO - US,Direct Drop,EXW,Air,5/3/13,5/15/13,9-Jan-14,9-Jan-14,9-Jan-14,ARV,Adult,Lupin,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,11092,43610.19,3.931679588892896,0.06552799314821493,"Baddi, Himachal Pradesh",Yes,957,1222.19,92.62,GATI,13
12959,110-ZM-T30,FPQ-14827,SCMS-256500,ASN-31164,Karnataka,PMO - US,Direct Drop,EXW,Air,8/19/14,9/19/14,12-May-15,12-May-15,14-May-15,HRDT,HIV test,Cipla,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,6280,92007.33,14.65084872611465,0.1465084872611465,"Baddi, Himachal Pradesh",Yes,2548,2278.61,516.47,TCI Express,14
12973,106-HT-T30,FPQ-9066,SCMS-138620,ASN-14950,West Bengal,PMO - US,Direct Drop,EXW,Air,1/6/12,2/24/12,12-Jun-12,12-Jun-12,12-Jun-12,ARV,Pediatric,Dr. Reddy's,"Lamivudine/Nevirapine/Stavudine 30/50/6mg, dispersible tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,30/50/6mg,Chewable/dispersible tablet - FDC,60,298,99619.45,334.2934563758389,5.5715576062639816,"Hosakote, Karnataka",Yes,21,1972.74,0.96,VRL Logistics,8
12981,105-SS-T30,FPQ-11754,SCMS-181400,ASN-19428,Maharashtra,PMO - US,Direct Drop,EXW,Air,2/22/13,4/1/13,16-Aug-13,16-Aug-13,16-Aug-13,HRDT,HIV test,Aurobindo Pharma,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,90,41189.44,457.66044444444447,4.5766044444444445,"Bhiwandi, Maharashtra",Yes,39,1570.72,9.91,VRL Logistics,5
13004,111-MZ-T30,FPQ-15276,SCMS-263040,ASN-31553,Gujarat,PMO - US,Direct Drop,FCA,Air,10/28/14,11/7/14,15-Apr-15,15-Apr-15,15-Apr-15,ARV,Adult,Dr. Reddy's,"Ritonavir 100mg [Norvir], film coated tablets, 60 Tabs",Ritonavir,Norvir,100mg,Tablet,60,400,44922.06,112.30515,1.8717525,"Baddi, Himachal Pradesh",Yes,62,1789.05,3.22,GATI,5
13007,102-BI-T30,FPQ-11670,SCMS-179360,ASN-19161,Delhi,PMO - US,Direct Drop,EXW,Air,2/20/13,3/14/13,10-Jun-13,10-Jun-13,10-Jun-13,HRDT,HIV test,Dr. Reddy's,"HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,1468,58226.78,39.664019073569484,0.39664019073569484,"Pithampur, Madhya Pradesh",Yes,638,1455.15,145.27,Blue Dart,9
13016,102-BI-T30,FPQ-9231,SCMS-141760,ASN-14830,Delhi,PMO - US,Direct Drop,EXW,Air,2/17/12,4/9/12,1-Jun-12,1-Jun-12,1-Jun-12,HRDT,HIV test,Cipla,"HIV 1/2, Stat-Pak Dipstick Assay Kit, 30 Tests","HIV 1/2, Stat-Pak Dipstick Assay Kit",Stat-Pak,,Test kit,30,305,86941.51,285.05413114754094,9.501804371584699,"Vapi, Gujarat",Yes,34,1697.13,10.9,GATI,4
13020,122-HT-T30,FPQ-8671,SCMS-131040,ASN-13448,Maharashtra,PMO - US,Direct Drop,EXW,Air,11/9/11,12/29/11,30-Jan-12,30-Jan-12,30-Jan-12,MRDT,Malaria,Aurobindo Pharma,"Malaria Antigen P.f Kit, 30 x 1 Test","Malaria Antigen P.f Kit, 30 x 1 Test",Generic,,Test kit,30,3,87348.01,29116.00333333333,970.5334444444444,"Vapi, Gujarat",Yes,1,632.76,0.07,TCI Express,2
13027,108-VN-T30,FPQ-13524,SCMS-226220,ASN-26923,West Bengal,PMO - US,Direct Drop,EXW,Air,2/6/14,3/10/14,29-Jul-14,29-Jul-14,6-Aug-14,ARV,Adult,Lupin,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,5300,14408.44,2.7185735849056605,0.09061911949685535,"Baddi, Himachal Pradesh",Yes,2922,1735.47,19.07,VRL Logistics,4
